Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
27/10/2023,"30,802","29,739.00","30,802.00","29,481.90",1.22M,3.57%
26/10/2023,"29,739","29,335.00","29,995.00","28,601.80",2.69M,-0.49%
25/10/2023,"29,885","30,289.00","30,509.00","29,885.20",1.01M,-1.33%
24/10/2023,"30,289","29,445.00","30,399.00","29,445.20",1.25M,2.48%
23/10/2023,"29,555","29,555.00","29,702.00","29,408.50",963.76K,-0.49%
20/10/2023,"29,702","29,482.00","29,702.00","29,005.20",1.33M,0.75%
19/10/2023,"29,482","29,482.00","29,775.00","29,115.20",1.59M,0.50%
18/10/2023,"29,335","30,289.00","30,325.00","29,335.20",1.98M,-3.15%
17/10/2023,"30,289","30,729.00","30,949.00","30,288.60",1.33M,-0.84%
16/10/2023,"30,545","31,169.00","31,169.00","30,251.90",1.33M,-2.00%
13/10/2023,"31,169","30,949.00","31,169.00","30,875.30",1.40M,0.83%
12/10/2023,"30,912","30,839.00","31,095.00","30,728.60",1.39M,0.36%
11/10/2023,"30,802","31,169.00","31,169.00","30,618.60",1.52M,-0.12%
10/10/2023,"30,839","30,949.00","31,169.00","30,728.60",1.20M,0.24%
9/10/2023,"30,765","30,949.00","31,022.00","30,655.30",954.21K,-0.59%
6/10/2023,"30,949","30,509.00","31,169.00","30,215.30",757.04K,1.44%
5/10/2023,"30,509","31,169.00","31,425.00","30,471.90",717.36K,-2.12%
4/10/2023,"31,169","30,069.00","31,499.00","30,068.60",1.22M,2.29%
3/10/2023,"30,472","32,012.00","32,085.00","30,471.90",1.82M,-5.46%
2/10/2023,"32,232","32,525.00","32,745.00","32,122.00",938.26K,-0.90%
29/09/2023,"32,525","32,562.00","32,819.00","32,415.40",739.86K,0.00%
28/09/2023,"32,525","32,525.00","32,782.00","32,452.10",948.49K,-0.11%
27/09/2023,"32,562","32,525.00","32,782.00","32,452.10",1.47M,0.11%
26/09/2023,"32,525","33,222.00","33,222.00","32,415.40",1.53M,-1.66%
25/09/2023,"33,075","33,772.00","33,772.00","32,928.80",1.42M,-2.06%
22/09/2023,"33,772","32,855.00","33,772.00","32,415.40",2.49M,1.88%
21/09/2023,"33,149","33,515.00","33,772.00","33,075.40",1.25M,-1.09%
20/09/2023,"33,515","33,149.00","33,515.00","33,075.40",918.08K,1.10%
19/09/2023,"33,149","33,589.00","33,845.00","33,002.10",1.62M,-1.20%
18/09/2023,"33,552","34,469.00","34,469.00","33,222.10",1.97M,-2.24%
15/09/2023,"34,322","34,469.00","34,762.00","34,322.20",1.44M,0.10%
14/09/2023,"34,286","34,469.00","35,129.00","34,285.50",2.56M,-0.53%
13/09/2023,"34,469","34,542.00","34,726.00","34,102.20",1.64M,0.00%
12/9/2023,"34,469","34,286.00","34,469.00","34,028.80",1.35M,1.08%
11/9/2023,"34,102","34,762.00","34,762.00","33,735.50",1.32M,-1.06%
8/9/2023,"34,469","34,836.00","34,872.00","34,432.20",2.18M,-0.74%
7/9/2023,"34,726","34,836.00","35,312.00","34,615.50",1.60M,0.11%
6/9/2023,"34,689","34,982.00","34,982.00","34,578.90",1.61M,-0.42%
5/9/2023,"34,836","34,469.00","34,982.00","34,468.90",1.86M,1.17%
31/08/2023,"34,432","33,992.00","34,432.00","33,955.50",2.28M,1.62%
30/08/2023,"33,882","33,735.00","34,176.00","33,588.80",1.53M,0.87%
29/08/2023,"33,589","33,295.00","33,809.00","33,258.80",1.85M,0.88%
28/08/2023,"33,295","33,259.00","33,662.00","33,222.10",1.01M,0.44%
25/08/2023,"33,149","33,589.00","33,589.00","33,038.80",1.60M,-1.31%
24/08/2023,"33,589","33,515.00","33,809.00","33,258.80",1.85M,0.22%
23/08/2023,"33,515","33,882.00","33,882.00","33,295.40",1.86M,-0.22%
22/08/2023,"33,589","32,929.00","33,699.00","32,635.40",1.76M,0.44%
